Year,Month,Description,buyers,quantity,revenue
2011,7,JUMBO BAG RED RETROSPOT,119,2970,5654.6
2011,7,SET OF 3 REGENCY CAKE TINS,119,1176,5318.8
2011,7,JUMBO BAG DOILEY PATTERNS,118,2145,4219.2
2011,7,REGENCY CAKESTAND 3 TIER,110,1076,12225.0
2011,7,LUNCH BAG RED RETROSPOT,107,1663,2631.95
2011,7,LUNCH BAG  BLACK SKULL.,105,1310,2099.5
2011,8,SPOTTY BUNTING,135,1351,6214.450000000001
2011,8,JUMBO BAG RED RETROSPOT,134,5278,9871.44
2011,8,WHITE HANGING HEART T-LIGHT HOLDER,121,2046,5498.1
2011,8,LUNCH BAG RED RETROSPOT,118,1975,3144.75
2011,8,PARTY BUNTING,115,1379,6306.05
2011,8,REGENCY CAKESTAND 3 TIER,108,775,8934.449999999999
2011,8,LUNCH BAG CARS BLUE,103,1447,2307.55
2011,8,LUNCH BAG SUKI DESIGN,102,1622,2566.3
2011,8,SET OF 3 REGENCY CAKE TINS,100,640,3001.6
2011,8,LUNCH BAG VINTAGE DOILY,98,1509,2389.85
2011,9,HOT WATER BOTTLE KEEP CALM,181,1326,6141.3
2011,9,JUMBO BAG RED RETROSPOT,174,4177,7992.01
2011,9,JUMBO BAG VINTAGE DOILY,152,2679,5293.92
2011,9,WHITE HANGING HEART T-LIGHT HOLDER,142,2444,6789.0
2011,9,PAPER CHAIN KIT 50'S CHRISTMAS,135,2064,5742.76
2011,9,REGENCY CAKESTAND 3 TIER,124,730,8570.13
2011,9,LUNCH BAG RED RETROSPOT,122,1744,2761.04
2011,9,LUNCH BAG VINTAGE DOILY,121,1717,2753.0499999999997
2011,9,ASSORTED COLOUR BIRD ORNAMENT,120,3016,4866.64
2011,9,SPOTTY BUNTING,119,864,4060.8
2011,10,PAPER CHAIN KIT 50'S CHRISTMAS,180,3243,8854.49
2011,10,HOT WATER BOTTLE KEEP CALM,158,1317,6041.55
2011,10,JUMBO BAG RED RETROSPOT,147,5237,9763.06
2011,10,ASSORTED COLOUR BIRD ORNAMENT,138,2663,4385.2699999999995
2011,10,REGENCY CAKESTAND 3 TIER,132,1028,11920.65
2011,10,PAPER CHAIN KIT VINTAGE CHRISTMAS,129,1681,4597.150000000001
2011,10,WHITE HANGING HEART T-LIGHT HOLDER,127,1650,4564.54
2011,10,JUMBO BAG 50'S CHRISTMAS,126,2346,4591.7300000000005
2011,10,DOORMAT KEEP CALM AND COME IN,125,1503,11006.119999999999
2011,10,HAND WARMER OWL DESIGN,122,1630,3269.84
2011,11,RABBIT NIGHT LIGHT,324,12393,23268.73
2011,11,PAPER CHAIN KIT 50'S CHRISTMAS,276,5919,16139.01
2011,11,HOT WATER BOTTLE KEEP CALM,216,2102,9500.1
2011,11,PAPER CHAIN KIT VINTAGE CHRISTMAS,195,3181,8654.11
2011,11,JUMBO BAG 50'S CHRISTMAS,192,2972,5984.56
2011,11,WHITE HANGING HEART T-LIGHT HOLDER,191,4861,13855.83
2011,11,ASSORTED COLOUR BIRD ORNAMENT,177,5190,8252.7
2011,11,LUNCH BAG PAISLEY PARK,177,2275,3611.75
2011,11,JUMBO BAG PAISLEY PARK,175,2543,5033.14
2011,11,WOODEN STAR CHRISTMAS SCANDINAVIAN,174,4981,1473.35
2011,12,RABBIT NIGHT LIGHT,103,3691,6889.76
2011,12,PAPER CHAIN KIT 50'S CHRISTMAS,92,1393,3856.4700000000003
2011,12,HOT WATER BOTTLE KEEP CALM,71,468,2182.2000000000003
2011,12,PAPER CHAIN KIT VINTAGE CHRISTMAS,70,739,2028.5700000000002
2011,12,HAND WARMER OWL DESIGN,64,773,1581.39
2011,12,BICYCLE PUNCTURE REPAIR KIT,61,1145,2203.44
2011,12,JUMBO BAG 50'S CHRISTMAS,56,998,1893.84
2011,12,CHOCOLATE HOT WATER BOTTLE,52,468,2131.8
2011,12,HAND WARMER RED LOVE HEART,51,466,978.6000000000001
2011,12,HAND WARMER BIRD DESIGN,49,727,1460.7900000000002
